1540983273-147,https://www.zomato.com/id/bandung/cekeran-midun-cicendo/reviews,"Parah si ini ceker terparah yg pernah d makan, ga sesuai advertising banget.. lagi laper uda nunggu” g***k pas di buka cekernya begini yg dateng sedih banget yaa hitam” selera makan hilang seketika. Trs yg lebih parah kuahnya itu loh rasanya persis sambel bangkok tp versi kuah and asin banget, bener” kecewa sih n ga kemakan juga bener” ilfeel ga akan beli lagi sihhhh cukup tau aja yaa😌",0,,1,48
1540983273-150,https://www.zomato.com/id/bandung/cekeran-midun-cicendo/reviews,"Isi ceker nya banyak. Pedes nya juara. Ceker nya lembut. Buat gue yang bingung gimana makan ceker, ini alasan kenapa gue mau makan ceker. Disamping sambil diajarin juga sih sama cowo gue gimana cara makan ceker nya. Buat minuman penghalau galau nya enak. Ada asem-asem bawaan dari jeruk nipis nya.",1,,0,52
1540983275-157,https://www.zomato.com/id/bandung/yellow-truck-coffee-pasteur/reviews,"Pas buat tempat meetup sama temen-temen because they provide many chairs, ada yang panjang juga, jadi bisa gather around.
Datang ke sini malam-malam, jadi sempat agak bingung carinya. Ternyata ada pas di samping pom bensin, di ruko-ruko dekat The Majesty Apartment.
Makanannya so-so, lah. Tapi nggak cobain kopinya sih (silly). Sayangnya, nggak terima debit waktu mau bayar (entah rusak atau gimana), so you need to prepare cash ya kalau ke sini",1,,,
1540983267-130,https://www.zomato.com/id/bandung/warung-nasi-pengkolan-lembang/reviews,"1. Lokasinya mudah ditemukan krn strategis pas pengkolan, sesuai nama restonya, dan plang namanya yg gede. Tempat parkir jg luas.
2. Tempat mkn luas, ada 2 lantai. Tp lbh nyaman di lantai 1 krn ada taman air indoor buatan yg menambah kesan natural.
3. Servis cepat & tanggap, krn pelayannya yg banyak. Pas dtg, hrs ditanyain mau duduk dimana, tiap meja ada nomornya. Kebetulan kmrn sy dpt meja no 21, samping taman air, jd cucok bgt. Masakannya jg dtgnya cepat, cm 5 menit nungguinnya.
4. Rasa masakannya standar ya, cenderung kurang enak malah. Menu yg kebetulan kupesan:
*nasi tutug oncom: enak
*gurame bakar: enak
*ayam bakar khas pengkolan: enak
*karedok: kurang enak
*sayur asem: kurang enak
*bakwan jagung: kurang enak
*sambal dadakan: kurang enak, ini ternyata sambal terasi tp manis bgt
*lalapan: kurang menarik krn isinya cm timun, leunca
*teh tawar hangat: bisa refill sepuasnya
Sy ga sempat foto mknnya krn ga terlalu menarik tampilannya.
5. Harga standar jg. Kebetulan ini sy fotoin menu harganya.",0,,,
1540983273-153,https://www.zomato.com/id/bandung/cekeran-midun-cicendo/reviews,"Food: Tidak seperti yang digembar-gemborkan dan tidak sesuai ekspektasi saya. Menurut saya dan teman saya rasanya biasa aja. Saya pesan Miedun Kojo dan teman saya Miedun Sakti Mandraguna. Sayapnya lumayan besar sih, empuk dn lembut, sosis bakarnya dan baksonya juga enak. Tapi cekernya terlalu kecil menurut saya dan kuahnya terasa asam manis pedas. Sepertinya sih ini namanya kuah yang original. Well, I'm not a big fan of kuah manis untuk masakan sup. Jadi saya tidak rekomendasikan untuk kuah originalnya.
Service: Pelayanannya ramah, tapi kurang untuk waiter/waitress yang standby, jadi ketika mau pesan harus cari-cari masnya dulu. Waktu tunggu sampai minuman saya sampai di atas meja (hanya es teh manis saja) 10 menit, sampai makanan sampai di meja 20 menit.
Ambiance: Tempatnya tidak terlalu besar. Terdapat area indoor dan outdoor, mungkin ini untuk non-smoking dan smoking area kali ya.. Bilik kamar mandi cuma ada 1 dan digunakan campur (tidak ada khusus untuk wanita dan laki-laki terpisah) dan tidak ada westafel dengan kaca. Padahal ketika saya sampai di sini saya langsung mencari kamar mandi berharap menemukan kaca karena mata saya kelilipan, tapi ternyata tidak ada.. Akhirnya saya pakai kamera hp saja seadanya (yah maaf malah curhat)",0,,,
1540983258-109,https://www.zomato.com/id/bandung/warunk-upnormal-lengkong/reviews,"Warung upnormal yang disini cukup gede tempat dan parkirannya. Niat pengen nerusin kerjaan kantor disini, tapi bising paraaaaah, lagunya keras banget. Padahal udah request minta kecilin, tapi gak di kecilin sih kayanya.
Ngomong-ngomong soal makanannya kok gak banget yaaaaaa, so sad...
Pesen Indomie jumbo, tapi mienya gak mateng gitu. Kayanya mie udah dimasukin pas airnya belom mendidih, jadi mienya gak mateng, padahal mie goreng doang looh sepele.
Pesen Baso goreng, 1 porsinya isi 8pcs. Pas dateng ukurannya gak sama masa ada yang gede, ada yang kecil, ada juga yang bentuknya gak bulet. Dan gak di apa-apain cuma di goreng aja gitu.
Kalo susu segarnya ok.
",0,,,
1540983260-113,https://www.zomato.com/id/bandung/bakso-boedjangan-lengkong/reviews," dulu seneng banget makan kesini karena harganya super masuk dikantong mahasiswa ya. murah-murah dan enak, variannya banyak. tp entah kenapa terakhir kesini kok rasanya hambar banget? pesen 2 varian terbaru mereka yang Wagyu sm Mozarella eh rasanya bland banget. tp utk service lumayan, waiternya gercep, nyediainnya jg gak lama. minumannya standar. waktu itu pernah nyobain dessert yg es duren dan lumayan lah untuk pemanis abis makan.",0,,,
1540983267-132,https://www.zomato.com/id/bandung/warung-nasi-pengkolan-lembang/reviews,"dulu ke sini sama temen aku abis dari Lembang jalan2. sebenernya gak ada niat buat makan di sini sih, cuma karena ujan yaudah kita ke sini buat makan sambil neduh gitu. aku waktu itu pesen nasi timbel, rasanya standar sih, trus sambelnya manis (aku gasuka kalo sambelnya manis T_T). trus soal harga, gak terlalu mahal dan gak terlalu murah juga sih yah. kalo aku bilang tempatnya di sini kurang bersih, gak nyaman bangetlah pokoknya buat aku. trus lantainya juga licin juga waktu itu sampe akunya hampir kepeleset. gatau yg salah sepatu aku atau emang lantainya yg licin :(",0,,,
1540983273-151,https://www.zomato.com/id/bandung/cekeran-midun-cicendo/reviews,"kalau ke bandung gatau knp pasti bm ceker dan tempat yg aku tau cuma cekeran midun ini. menurutku ceker disini enak, rasa kuahnya selalu pas, dan harganya juga murah meriah. kemarin makan lagi disini nyobain ceker merapinya, level pedesnya kalau ga salah kelud (which is kayak level 3nya gitu). dan itu pedes bgt!! terus salahnya, aku pesen porsi jumbo haha kirain ga bakal sebanyak itu, harganya sekitar 22ribuan dan itu bisa dimakan untuk 3 orang. 
kalau makanannya disini lumayan enak, cuma mas/mbanya disini kurang gercep hee pesanan juga diantarnya agak lama :"")
oh iya buat yg bawa kendaraan mobil ga perlu bingung parkir dmn karna ga jauh dari situ ada area parkir umum gitu.",1,,,
1540983260-115,https://www.zomato.com/id/bandung/bakso-boedjangan-lengkong/reviews,"Warung bakso yang maknyus. Menunya variatif dan lezat jadi bikin pengen balik lagi ke sana. Untuk harga, tenang ... terjangkau alias ramah dompet :D",1,,,
1540983278-162,https://www.zomato.com/id/bandung/sushi-tei-sumurbandung,"Tempat favorit toooos kalau ngidam pengen makan Sushi. Tapi ya, makan ini juga kalau lagi ada yang dirayakan aja haha. Btw aku baru nyobain beberapa sushi yang ada di mall-mall Bandung dan sejauh ini baru yang yang ter da best 😚😚",1,,,
1540983263-120,https://www.zomato.com/id/bandung/bakso-boedjangan-ujungberung/reviews,"Waktu itu kesini rame2 sama teman2 kantor dan hasilnya.. biasa aja menurut saya. Waktu itu saya pesan Nasi Bakso Teriyaki. Dibilang gak enak sih gak juga. Tapi biasa aja. Gak tau ya menu yang lain.
Untuk harga, terjangkau! Cocoklah untuk anak muda.
Pesan saya, bagi yang gak suka durian, jangan kesini. Karena di tempat ini menyajikan durian yang berbagai macam. Saya salah satu pembenci durian jadi pas kesini agak menyiksa saya karna saya harus nahan nafas sepanjang saya disana. Tapi buat yang suka durian, mungkin patut dicoba karena durian sptnya salah satu menu andalannya.",0,,,
1540983275-154,https://www.zomato.com/id/bandung/yellow-truck-coffee-pasteur/reviews,Terletak di Jl. Surya Sumantri sebelum belokan ke Jl. Lemah Nendeut. Rasa minuman kopi dan makanan barat nya lumayan untuk ukuran cafe kelas ini.,1,,,
1540983258-112,https://www.zomato.com/id/bandung/warunk-upnormal-lengkong/reviews," item yang dipesen : healty juice isi pisang jambu oat
harga : 20rb
deskripsi rasa : air , es dan sedikit jambu
akan beli lagi ?
sudah pasti engga",0,,,
1540983263-117,https://www.zomato.com/id/bandung/bakso-boedjangan-ujungberung/reviews,"Excited banget untuk dateng kesini karna aku doyan bgt bakso & keju.
Dan di bakso boedjangan ini ada BAKSO SUPER KEJU! Wiiihh.. 
Langsung datanglah ke cabang yg di Ujungberung berhubung yg paling dekat
Dari tempatnya oke, nyaman, dan waktu itu lg gak terlalu rame.
Pesan bakso super keju dan minumnya greentea
Buat bakso kejunya lumayan enak. Mungkin next akan coba yg mozarella nya
Tapi.. Mi nya bok dikittt bangettt😭 cuman 3 suap aja udah abis. Porsi yg pelit bgt dengan harga segitu menurutku . Sementara foto di IG itu mi nya ga sesedikit itu (namanya juga promosi) hiks
Untuk greentea nya udah enak, pas sm selera aku, gak terlalu manis & gak terlalu pahit.
Overall cukup recomended kok makan disini, tp jgn kya akuu yg ber-ekspektasi terlalu tinggi😂",1,,,
1540983265-123,https://www.zomato.com/id/bandung/pines-cafe-the-lodge-maribaya-lembang/reviews,"So so
Biasa² aja untuk kualitas makannnya..
Hanya tempatnya merupakan tempat strategis yaitu dekat pintu keluar..
Rasa makanan terasa agak aneh dan kurang kalau menurut saya dan teman²
Semoga bs diperbaiki resep makanan supaya kualitas pun oke",0,,,
1540983275-158,https://www.zomato.com/id/bandung/yellow-truck-coffee-pasteur/reviews,"Mau ngopi dengan harga yang bersahabat ? Tp rasa tetap oke ? Trus mau ngemil atau makanan berat dengan harga masuk akal? 
Ini sih masuk ke list tempat buat itu , ngopi ditambah cemilan harganya masuk akal .",1,,,
